_date,total_clones,unique_clones
2024-06-14,11,2
2024-06-15,10,1
2024-06-16,10,1
2024-06-17,11,1
2024-06-18,10,1
2024-06-19,10,1
2024-06-20,10,1
2024-06-21,10,1
2024-06-22,10,1
2024-06-23,10,1
2024-06-24,11,1
2024-06-25,10,1
2024-06-26,10,1
2024-06-27,29,4
2024-06-28,10,1
2024-06-29,10,1
2024-06-30,12,1
2024-07-01,22,2
2024-07-02,10,1
2024-07-03,11,2
2024-07-04,11,2
2024-07-05,10,1
2024-07-06,10,1
2024-07-07,12,1
2024-07-08,11,1
2024-07-09,10,1
2024-07-10,10,1
2024-07-11,10,1
2024-07-12,10,1
2024-07-13,10,1
2024-07-14,12,1
2024-07-15,12,2
2024-07-16,12,2
2024-07-17,11,2
2024-07-18,10,1
2024-07-19,12,3
2024-07-20,10,1
2024-07-21,12,1
2024-07-22,11,1
2024-07-23,10,1
2024-07-24,10,1
2024-07-25,10,1
2024-07-26,10,1
2024-07-27,10,1
2024-07-28,12,1
2024-07-29,11,1
2024-07-30,10,1
2024-07-31,10,1
2024-08-01,10,1
2024-08-02,10,1
2024-08-03,10,1
2024-08-04,12,1
2024-08-05,13,3
2024-08-06,10,1
2024-08-07,11,2
2024-08-08,10,1
2024-08-09,10,1
2024-08-10,10,1
2024-08-11,12,1
2024-08-12,11,1
2024-08-13,10,1
2024-08-14,13,4
2024-08-15,10,1
2024-08-16,10,1
2024-08-17,12,3
2024-08-18,12,1
2024-08-19,14,4
2024-08-20,10,1
2024-08-21,10,1
2024-08-22,10,1
2024-08-23,10,1
2024-08-24,10,1
2024-08-25,20,1
